sep=;
StationName;Long;Lat;ModuleName;ModuleType
"Notman House";-73.5700785;45.5119007;Notman-M234;Indoor
Timestamp;"Timezone : America/Toronto";Temperature;Humidity;CO2;Noise;Pressure
1479531881;"2016/11/19 00:04:41";21.6;46;399;41;1014.5
1479532185;"2016/11/19 00:09:45";21.6;46;403;41;1014.5
1479532489;"2016/11/19 00:14:49";21.6;46;395;41;1014.4
1479532792;"2016/11/19 00:19:52";21.6;46;399;46;1014.3
1479533095;"2016/11/19 00:24:55";21.6;46;392;50;1014.2
1479533400;"2016/11/19 00:30:00";21.6;46;401;49;1014.2
1479533704;"2016/11/19 00:35:04";21.6;46;403;48;1014.2
1479534007;"2016/11/19 00:40:07";21.6;46;411;38;1014.2
1479534311;"2016/11/19 00:45:11";21.6;46;401;38;1014.1
1479534615;"2016/11/19 00:50:15";21.6;45;406;38;1014.2
1479534920;"2016/11/19 00:55:20";21.6;45;400;41;1014.1
1479535224;"2016/11/19 01:00:24";21.6;45;404;39;1014.2
1479535527;"2016/11/19 01:05:27";21.6;45;415;39;1014.2
1479535830;"2016/11/19 01:10:30";21.6;45;410;38;1014.2
1479536134;"2016/11/19 01:15:34";21.6;45;392;37;1014.2
1479536435;"2016/11/19 01:20:35";21.6;45;410;37;1014.2
1479536739;"2016/11/19 01:25:39";21.6;45;397;41;1014.2
1479537043;"2016/11/19 01:30:43";21.6;45;402;49;1014.2
1479537346;"2016/11/19 01:35:46";21.6;45;398;49;1014
1479537649;"2016/11/19 01:40:49";21.6;45;391;49;1013.9
1479537953;"2016/11/19 01:45:53";21.6;45;399;39;1013.8
1479538257;"2016/11/19 01:50:57";21.7;45;395;40;1013.6
1479538557;"2016/11/19 01:55:57";21.7;45;403;36;1013.5
1479538862;"2016/11/19 02:01:02";21.7;45;405;38;1013.4
1479539165;"2016/11/19 02:06:05";21.6;45;392;38;1013.3
1479539469;"2016/11/19 02:11:09";21.6;45;409;38;1013.3
1479539773;"2016/11/19 02:16:13";21.6;45;405;38;1013.2
1479540075;"2016/11/19 02:21:15";21.7;45;415;37;1013.2
1479540379;"2016/11/19 02:26:19";21.6;45;409;38;1013.2
1479540683;"2016/11/19 02:31:23";21.6;45;393;40;1013.1
1479540987;"2016/11/19 02:36:27";21.6;45;401;49;1013
1479541291;"2016/11/19 02:41:31";21.6;44;405;49;1013
1479541595;"2016/11/19 02:46:35";21.6;44;402;49;1013
1479541899;"2016/11/19 02:51:39";21.6;44;402;40;1013
1479542202;"2016/11/19 02:56:42";21.6;44;403;40;1013
1479542505;"2016/11/19 03:01:45";21.6;44;403;40;1012.9
1479542806;"2016/11/19 03:06:46";21.6;44;410;37;1012.8
1479543111;"2016/11/19 03:11:51";21.6;44;407;37;1012.8
1479543415;"2016/11/19 03:16:55";21.6;44;407;37;1012.7
1479543718;"2016/11/19 03:21:58";21.6;44;409;37;1012.7
1479544022;"2016/11/19 03:27:02";21.6;44;406;36;1012.7
1479544321;"2016/11/19 03:32:01";21.6;44;397;37;1012.6
1479544622;"2016/11/19 03:37:02";21.6;44;410;40;1012.6
1479544927;"2016/11/19 03:42:07";21.6;44;402;49;1012.5
1479545231;"2016/11/19 03:47:11";21.6;44;401;49;1012.5
1479545535;"2016/11/19 03:52:15";21.7;44;409;49;1012.4
1479545838;"2016/11/19 03:57:18";21.7;44;413;37;1012.4
1479546139;"2016/11/19 04:02:19";21.7;44;409;36;1012.4
1479546440;"2016/11/19 04:07:20";21.7;44;409;35;1012.4
1479546741;"2016/11/19 04:12:21";21.7;44;400;35;1012.4
1479547042;"2016/11/19 04:17:22";21.6;44;401;35;1012.4
1479547342;"2016/11/19 04:22:22";21.6;44;403;35;1012.4
1479547646;"2016/11/19 04:27:26";21.6;44;400;35;1012.3
1479547951;"2016/11/19 04:32:31";21.6;44;408;35;1012.3
1479548251;"2016/11/19 04:37:31";21.6;44;406;35;1012.3
1479548551;"2016/11/19 04:42:31";21.6;43;404;37;1012.2
1479548852;"2016/11/19 04:47:32";21.6;43;401;49;1012.2
1479549155;"2016/11/19 04:52:35";21.7;43;409;48;1012.1
1479549459;"2016/11/19 04:57:39";21.6;43;405;48;1011.9
1479549760;"2016/11/19 05:02:40";21.6;43;401;37;1011.9
1479550061;"2016/11/19 05:07:41";21.6;43;389;35;1011.8
1479550361;"2016/11/19 05:12:41";21.6;43;406;35;1011.7
1479550666;"2016/11/19 05:17:46";21.6;43;402;35;1011.6
1479550966;"2016/11/19 05:22:46";21.6;43;412;35;1011.6
1479551266;"2016/11/19 05:27:46";21.6;43;402;35;1011.6
1479551566;"2016/11/19 05:32:46";21.6;43;410;35;1011.7
1479551866;"2016/11/19 05:37:46";21.6;43;405;35;1011.7
1479552168;"2016/11/19 05:42:48";21.6;43;399;35;1011.7
1479552468;"2016/11/19 05:47:48";21.6;43;402;35;1011.8
1479552771;"2016/11/19 05:52:51";21.6;43;403;49;1011.7
1479553075;"2016/11/19 05:57:55";21.6;43;399;49;1011.7
1479553375;"2016/11/19 06:02:55";21.6;43;394;48;1011.6
1479553676;"2016/11/19 06:07:56";21.6;43;396;41;1011.5
1479553980;"2016/11/19 06:13:00";21.6;43;409;35;1011.4
1479554285;"2016/11/19 06:18:05";21.6;43;400;35;1011.5
1479554589;"2016/11/19 06:23:09";21.6;43;399;38;1011.5
1479554892;"2016/11/19 06:28:12";21.6;42;393;38;1011.4
1479555194;"2016/11/19 06:33:14";21.6;42;402;37;1011.5
1479555494;"2016/11/19 06:38:14";21.6;42;404;38;1011.5
1479555794;"2016/11/19 06:43:14";21.6;42;402;38;1011.5
